% k, CloAct(W/T/L),W,T,L
CloAct-1(W/T/L): ,85|31|5,85,31,5
CloAct-2(W/T/L): ,94|10|17,94,10,17
CloAct-3(W/T/L): ,92|10|19,92,10,19
CloAct-4(W/T/L): ,102|8|11,102,8,11
CloAct-5(W/T/L): ,101|8|12,101,8,12
CloAct-6(W/T/L): ,91|6|24,91,6,24
CloAct-7(W/T/L): ,102|6|13,102,6,13
CloAct-8(W/T/L): ,105|5|11,105,5,11
CloAct-9(W/T/L): ,97|5|19,97,5,19
CloAct-10(W/T/L): ,108|0|13,108,0,13
CloAct-11(W/T/L): ,107|0|14,107,0,14
CloAct-12(W/T/L): ,98|0|23,98,0,23
CloAct-13(W/T/L): ,103|0|18,103,0,18
CloAct-14(W/T/L): ,102|0|19,102,0,19
CloAct-15(W/T/L): ,103|0|18,103,0,18
,,1490,89,236
