Xerces(6),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0,0,0,0,0,0.123380631,0,0,0,0,0,0
2%=0.02,0.075700228,0,0.151400455,0.075700228,0.075700228,0.075700228,0.075700228,0.075700228,0,0,0,0.078125001
3%=0.03,0.10920011,0,0.163800164,0.054600055,0.054600055,0.054600055,0.054600055,0.054600055,0,0.054600055,0.054600055,0.056497175
4%=0.04,0.085397097,0,0.128095645,0.042698548,0.042698548,0.042698548,0.042698548,0.042698548,0,0.042698548,0.042698548,0.044247788
5%=0.05,0.105170903,0,0.105170903,0.035056968,0.035056968,0.070113935,0.035056968,0.035056968,0,0.035056968,0.035056968,0.036363636
6%=0.06,0.118941422,0,0.089206066,0.029735355,0.029735355,0.059470711,0.029735355,0.029735355,0,0.029735355,0.029735355,0.030864198
7%=0.07,0.103265781,0,0.077449335,0.05163289,0.05163289,0.05163289,0.025816445,0.025816445,0,0.025816445,0.025816445,0.080428954
8%=0.08,0.091240876,0,0.114051095,0.045620438,0.045620438,0.045620438,0.045620438,0.022810219,0,0.022810219,0.045620438,0.09478673
9%=0.09,0.081724385,0,0.10215548,0.040862192,0.040862192,0.061293288,0.040862192,0.020431096,0.020431096,0.020431096,0.061293288,0.08492569
10%=0.1,0.074005551,0,0.092506938,0.037002775,0.037002775,0.055504163,0.055504163,0.018501388,0.018501388,0.018501388,0.092506938,0.076923077
11%=0.11,0.067618967,0,0.084523709,0.033809484,0.033809484,0.067618967,0.050714225,0.016904742,0.033809484,0.016904742,0.084523709,0.087873462
12%=0.12,0.093370682,0,0.077808901,0.031123561,0.031123561,0.077808901,0.046685341,0.031123561,0.031123561,0.062247121,0.077808901,0.080906149
13%=0.13,0.086498955,0,0.086498955,0.028832985,0.028832985,0.086498955,0.043249477,0.043249477,0.028832985,0.05766597,0.072082462,0.074962519
14%=0.14,0.080569357,0,0.080569357,0.026856452,0.026856452,0.080569357,0.053712905,0.053712905,0.026856452,0.067141131,0.067141131,0.069832402
15%=0.15,0.075400566,0,0.075400566,0.025133522,0.025133522,0.075400566,0.050267044,0.050267044,0.037700283,0.062833805,0.062833805,0.065359477
