tomcat(28),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.296359018,0,0.38103302,0.127011008,0.127011008,0.211685016,0.169348015,0.127011008,0.127011008,0.211685016,0.254022017,0.301659125
2%=0.02,0.330926591,0,0.270758121,0.150421181,0.150421181,0.300842362,0.180505416,0.180505416,0.150421181,0.210589651,0.240673891,0.246837401
3%=0.03,0.32664489,0,0.32664489,0.11665889,0.11665889,0.256649555,0.256649555,0.186654226,0.139990668,0.209986,0.233317781,0.312387357
4%=0.04,0.323932928,0,0.323932928,0.152439026,0.152439026,0.209603657,0.266768293,0.171493902,0.152439026,0.209603657,0.266768293,0.314836682
5%=0.05,0.305958129,0,0.305958129,0.144927536,0.144927536,0.273752014,0.241545892,0.193236715,0.128824478,0.241545892,0.273752014,0.283215328
6%=0.06,0.278862243,0,0.292805354,0.153374232,0.153374232,0.237032906,0.237032906,0.181260456,0.125488009,0.223089796,0.250976017,0.274447492
7%=0.07,0.270469633,0.012294074,0.258175559,0.135234816,0.135234816,0.245881486,0.221293336,0.184411113,0.135234816,0.221293336,0.245881486,0.267737617
8%=0.08,0.241864555,0.010993844,0.241864555,0.131926122,0.131926122,0.230870712,0.21987687,0.186895339,0.120932278,0.208883024,0.263852243,0.273847559
9%=0.09,0.238616027,0.009942335,0.218731357,0.119308014,0.119308014,0.218731357,0.208789024,0.169019686,0.119308014,0.19884669,0.248558361,0.24781868
10%=0.1,0.217785844,0.00907441,0.226860254,0.108892922,0.108892922,0.226860254,0.190562613,0.154264973,0.127041742,0.181488204,0.235934663,0.245167373
11%=0.11,0.208646303,0.016691704,0.208646303,0.11684193,0.11684193,0.208646303,0.175262894,0.150225338,0.133533634,0.191954599,0.216992154,0.225586742
12%=0.12,0.193139678,0.023176761,0.193139678,0.10815822,0.10815822,0.193139678,0.16223733,0.139060568,0.123609395,0.193139678,0.200865265,0.208902458
13%=0.13,0.179778513,0.021573422,0.179778513,0.107867107,0.107867107,0.186969653,0.151013951,0.136631669,0.115058249,0.179778513,0.186969653,0.194516141
14%=0.14,0.168146354,0.020177563,0.168146354,0.100887812,0.100887812,0.181598063,0.147968792,0.134517084,0.114339521,0.168146354,0.174872208,0.181983621
15%=0.15,0.157927985,0.025268478,0.170562224,0.094756791,0.094756791,0.170562224,0.138976626,0.132659507,0.10739103,0.164245104,0.164245104,0.170968272
