k,h-index,a-index,PageRank,PageRankBR,k-core,ICOOK,PageRankIVOL,ElementRank,Pride,MinClass,iFit,CloAct
1%,6,10.45454545,6.909090909,6.909090909,7.454545455,7.181818182,5.454545455,6.454545455,6.363636364,6,5.954545455,2.863636364
2%,5.272727273,11.31818182,6.909090909,6.909090909,7.363636364,7.136363636,5.681818182,6.636363636,6.227272727,6.227272727,5.318181818,3
3%,5.363636364,11.45454545,7,7,6.818181818,7.181818182,6.181818182,6.272727273,5.909090909,6.681818182,4.954545455,3.181818182
4%,5.818181818,11.54545455,6.454545455,6.454545455,7,7.318181818,6.681818182,6.090909091,5.909090909,7.045454545,5.318181818,2.363636364
5%,6.136363636,11.59090909,6.363636364,6.363636364,7.681818182,6.727272727,6.272727273,6.318181818,5.818181818,6.818181818,5.454545455,2.454545455
6%,6.545454545,11.68181818,5.818181818,5.818181818,8.090909091,7.272727273,6.681818182,6.272727273,4.772727273,6.863636364,4.727272727,3.454545455
7%,6.227272727,11.68181818,6.045454545,6.045454545,8.090909091,7.681818182,6.363636364,5.681818182,5.727272727,7.272727273,4.727272727,2.454545455
8%,6.727272727,11.27272727,6.272727273,6.272727273,7.318181818,7.727272727,6.590909091,6.363636364,5.590909091,6.954545455,4.681818182,2.227272727
9%,6.681818182,11.36363636,6,6,7.181818182,7.363636364,6.227272727,6.772727273,5.590909091,7.181818182,4.681818182,2.954545455
10%,6.772727273,11.5,6,6,7.045454545,7.363636364,6.5,6.909090909,5.954545455,7.181818182,4.590909091,2.181818182
11%,6.909090909,11.5,5.909090909,5.909090909,6.909090909,7.181818182,6.454545455,7.181818182,5.5,7.090909091,5.181818182,2.272727273
12%,6.5,11.54545455,6.227272727,6.227272727,6.954545455,7,6.454545455,6.727272727,4.863636364,7.227272727,5.181818182,3.090909091
13%,6.045454545,11.22727273,6.136363636,6.136363636,6.818181818,6.954545455,6.318181818,7.181818182,5.590909091,7.363636364,5.590909091,2.636363636
14%,5.863636364,11.27272727,6.409090909,6.409090909,7.045454545,7.136363636,6.954545455,6.545454545,5.863636364,6.363636364,5.409090909,2.727272727
15%,5.818181818,11.36363636,6.409090909,6.409090909,6.909090909,6.909090909,7.136363636,6.681818182,6,6.181818182,5.545454545,2.636363636
