software04,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
ant_main(10)4%=0.04,0.130434784,0,0.086956522,0.086956522,0.086956522,0.086956522,0.217391304,0.304347825,0.260869567,0.304347825,0.304347825,0.310283687
argouml(12)4%=0.04,0.261780105,0,0.305410119,0.305410119,0.305410119,0,0.392670157,0.392670157,0.392670157,0.392670157,0.392670157,0.405040504
jedit(7)4%=0.04,0.236966825,0,0.236966825,0.236966825,0.236966825,0.236966825,0.197472355,0.236966825,0.236966825,0.236966825,0.276461295,0.277337559
jgap(18)4%=0.04,0.346420329,0,0.173210164,0.28868361,0.28868361,0.28868361,0.173210164,0.173210164,0.173210164,0.173210164,0.173210164,0.183374086
jhotdraw(9)4%=0.04,0.390117039,0,0.390117039,0.455136543,0.455136543,0.455136543,0.325097534,0.325097534,0.325097534,0.390117039,0.390117039,0.505902198
jmeter_core(14)4%=0.04,0.081967215,0,0.16393443,0.16393443,0.16393443,0.245901641,0.081967215,0.245901641,0.245901641,0.245901641,0.245901641,0.251256283
JPMC(24)4%=0.04,0,0,0,0.133868812,0.133868812,0,0,0,0.066934406,0,0,0
Maze(27)4%=0.04,0.134408603,0,0.067204302,0.134408603,0.134408603,0.067204302,0.134408603,0.134408603,0.134408603,0.134408603,0.134408603,0.135135136
neuroph(24)4%=0.04,0.322164943,0,0.257731965,0.257731965,0.257731965,0.193298969,0.386597938,0.386597938,0.322164943,0.322164943,0.322164943,0.400534045
tomcat(28)4%=0.04,0.323932928,0,0.323932928,0.152439026,0.152439026,0.209603657,0.266768293,0.171493902,0.152439026,0.209603657,0.266768293,0.314836682
Xerces(6)4%=0.04,0.085397097,0,0.128095645,0.042698548,0.042698548,0.042698548,0.042698548,0.042698548,0,0.042698548,0.042698548,0.044247788
