paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
CloAct vs. h-index,1.1472971461756742E-8,0.5324675324675324,large,-0.4598409567120315,medium
CloAct vs. a-index,0.0,0.9354838709677419,large,-0.8609594145401327,large
CloAct vs. k-core,5.395683899678261E-14,0.6363636363636364,large,-0.6060713984545015,large
CloAct vs. ForwardPageRank-Sora,4.4964079126685874E-9,0.6625,large,-0.4635867876675194,medium
CloAct vs. ForwardBackPageRank-Sora,4.4964079126685874E-9,0.6625,large,-0.4635867876675194,medium
CloAct vs. g-core,2.691451239655862E-8,0.5483870967741935,large,-0.44655094967481546,medium
CloAct vs. MinClass,1.1324274851176597E-14,0.7548387096774194,large,-0.6203212581761656,large
CloAct vs. TSEPageRank,6.661338147750939E-16,0.7848101265822784,large,-0.6439307807579219,large
CloAct vs. LiuPageRank,5.557776461273534E-13,0.6790123456790124,large,-0.5664786078229193,large
CloAct vs. TSEPageRank_v15,0.0,0.8709677419354839,large,-0.7157442599543636,large
CloAct vs. iFit,9.43689570931383E-13,0.738562091503268,large,-0.5770381050388145,large
