argouml(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.195503425,0,0.293255132,0.488758546,0.488758546,0,0.488758546,0.391006849,0.391006849,0.488758546,0.586510264,0.596718051
2%=0.02,0.20746888,0,0.345781463,0.484094046,0.484094046,0,0.484094046,0.414937759,0.484094046,0.553250353,0.622406639,0.6378455
3%=0.03,0.321027287,0,0.267522737,0.428036387,0.428036387,0.160513644,0.428036387,0.428036387,0.481540931,0.481540931,0.535045475,0.495458299
4%=0.04,0.305410119,0,0.349040142,0.349040142,0.349040142,0.261780105,0.436300172,0.436300172,0.436300172,0.479930195,0.479930195,0.495049508
5%=0.05,0.294659302,0,0.294659302,0.368324123,0.368324123,0.257826886,0.368324123,0.40515654,0.40515654,0.40515654,0.40515654,0.418648908
6%=0.06,0.254939453,0,0.254939453,0.350541748,0.350541748,0.254939453,0.318674313,0.350541748,0.350541748,0.350541748,0.382409178,0.362677219
7%=0.07,0.224655997,0,0.252737995,0.308901995,0.308901995,0.252737995,0.308901995,0.308901995,0.308901995,0.336983993,0.336983993,0.348989385
8%=0.08,0.200803214,0,0.225903614,0.276104419,0.276104419,0.225903614,0.276104419,0.276104419,0.301204819,0.301204819,0.301204819,0.312174818
9%=0.09,0.181529386,0,0.204220558,0.249602905,0.249602905,0.204220558,0.249602905,0.249602905,0.272294078,0.272294078,0.272294078,0.282386163
10%=0.1,0.165631471,0,0.186335404,0.227743272,0.227743272,0.186335404,0.227743272,0.227743272,0.248447205,0.248447205,0.248447205,0.257787325
11%=0.11,0.171330668,0,0.190367409,0.209404151,0.209404151,0.171330668,0.209404151,0.209404151,0.228440891,0.228440891,0.228440891,0.237130718
12%=0.12,0.176180408,0,0.176180408,0.19379845,0.19379845,0.176180408,0.19379845,0.21141649,0.21141649,0.21141649,0.21141649,0.219538968
13%=0.13,0.163961305,0,0.163961305,0.180357436,0.180357436,0.163961305,0.180357436,0.196753566,0.196753566,0.196753566,0.196753566,0.204377076
14%=0.14,0.1533272,0,0.1533272,0.168659921,0.168659921,0.1533272,0.168659921,0.18399264,0.18399264,0.18399264,0.18399264,0.191174128
15%=0.15,0.143988481,0,0.143988481,0.158387329,0.158387329,0.143988481,0.158387329,0.172786177,0.172786177,0.172786177,0.172786177,0.179573513
