jedit(7),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.446677841,0,0.446677841,0.446677841,0.446677841,0.558347297,0.446677841,0.446677841,0.558347297,0.558347297,0.558347297,0.559597095
2%=0.02,0.416377517,0,0.346981265,0.346981265,0.346981265,0.346981265,0.346981265,0.346981265,0.416377517,0.416377517,0.416377517,0.417536535
3%=0.03,0.302038762,0,0.302038762,0.251698969,0.251698969,0.302038762,0.251698969,0.302038762,0.302038762,0.302038762,0.302038762,0.3029538
4%=0.04,0.236966825,0,0.236966825,0.236966825,0.236966825,0.236966825,0.197472355,0.236966825,0.236966825,0.236966825,0.236966825,0.277337559
5%=0.05,0.194963445,0,0.194963445,0.194963445,0.194963445,0.194963445,0.162469537,0.194963445,0.227457352,0.194963445,0.227457352,0.228198859
6%=0.06,0.165608612,0,0.165608612,0.193210047,0.193210047,0.165608612,0.138007177,0.165608612,0.193210047,0.193210047,0.193210047,0.193852119
7%=0.07,0.143936668,0,0.143936668,0.167926113,0.167926113,0.143936668,0.143936668,0.143936668,0.167926113,0.167926113,0.167926113,0.168491997
8%=0.08,0.127280441,0,0.127280441,0.148493848,0.148493848,0.127280441,0.148493848,0.148493848,0.148493848,0.148493848,0.148493848,0.148999574
9%=0.09,0.114079285,0,0.114079285,0.133092499,0.133092499,0.114079285,0.133092499,0.133092499,0.133092499,0.133092499,0.133092499,0.133549556
10%=0.1,0.103359173,0,0.103359173,0.120585702,0.120585702,0.103359173,0.120585702,0.120585702,0.120585702,0.120585702,0.120585702,0.121002593
11%=0.11,0.09448075,0,0.09448075,0.110227541,0.110227541,0.09448075,0.110227541,0.110227541,0.110227541,0.110227541,0.110227541,0.110610729
12%=0.12,0.087006961,0,0.087006961,0.101508121,0.101508121,0.087006961,0.101508121,0.101508121,0.101508121,0.101508121,0.101508121,0.101862631
13%=0.13,0.094067056,0,0.080628906,0.094067056,0.094067056,0.080628906,0.094067056,0.094067056,0.094067056,0.094067056,0.094067056,0.094396871
14%=0.14,0.087642419,0,0.075122073,0.087642419,0.087642419,0.075122073,0.087642419,0.087642419,0.087642419,0.087642419,0.087642419,0.087950748
15%=0.15,0.082039262,0,0.070319367,0.082039262,0.082039262,0.070319367,0.082039262,0.082039262,0.082039262,0.082039262,0.082039262,0.082328727
