jgap(18),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.090252708,0,0.090252708,0.090252708,0.090252708,0,0,0.090252708,0.090252708,0,0,0.092250923
2%=0.02,0.075987842,0,0.075987842,0.151975685,0.151975685,0,0.075987842,0.151975685,0.151975685,0.075987842,0.075987842,0.157728707
3%=0.03,0.262467193,0,0.131233596,0.131233596,0.131233596,0.262467193,0.131233596,0.131233596,0.131233596,0.131233596,0.131233596,0.137741047
4%=0.04,0.346420329,0,0.173210164,0.28868361,0.28868361,0.230946883,0.115473442,0.115473442,0.173210164,0.173210164,0.173210164,0.244498779
5%=0.05,0.309278355,0,0.154639177,0.257731964,0.257731964,0.206185568,0.154639177,0.154639177,0.154639177,0.154639177,0.154639177,0.219780221
6%=0.06,0.279329612,0,0.139664806,0.232774679,0.232774679,0.232774679,0.232774679,0.232774679,0.139664806,0.18621974,0.18621974,0.199600799
7%=0.07,0.339558575,0,0.127334467,0.212224113,0.212224113,0.254668933,0.254668933,0.212224113,0.127334467,0.169779287,0.169779287,0.2285192
8%=0.08,0.351014041,0,0.195007804,0.195007804,0.195007804,0.273010922,0.234009363,0.195007804,0.156006241,0.156006241,0.234009363,0.252951099
9%=0.09,0.324675325,0,0.216450219,0.180375183,0.180375183,0.252525254,0.216450219,0.216450219,0.144300145,0.144300145,0.216450219,0.273865416
10%=0.1,0.302013423,0,0.302013423,0.201342284,0.201342284,0.302013423,0.201342284,0.201342284,0.167785237,0.167785237,0.23489933,0.255474454
11%=0.11,0.31367629,0,0.31367629,0.250941029,0.250941029,0.345043914,0.188205773,0.188205773,0.188205773,0.156838145,0.219573401,0.273597812
12%=0.12,0.323910482,0,0.294464079,0.235571261,0.235571261,0.353356893,0.176678447,0.176678447,0.176678447,0.14723204,0.206124854,0.257400258
13%=0.13,0.332963377,0,0.332963377,0.249722531,0.249722531,0.332963377,0.166481688,0.166481688,0.166481688,0.166481688,0.194228636,0.243013366
14%=0.14,0.34102833,0,0.34102833,0.288562434,0.288562434,0.393494227,0.157397693,0.157397693,0.157397693,0.183630641,0.183630641,0.230149598
15%=0.15,0.373134326,0,0.348258708,0.27363184,0.27363184,0.373134326,0.149253732,0.149253732,0.149253732,0.174129354,0.174129354,0.218579235
