jhotdraw(9),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.415512473,0,0.138504156,0.554016623,0.554016623,0.554016623,0.415512473,0.277008312,0.277008312,0.277008312,0.277008312,0.315457415
2%=0.02,0.402414488,0,0.201207244,0.50301812,0.50301812,0.603621739,0.402414488,0.201207244,0.201207244,0.201207244,0.301810869,0.244498779
3%=0.03,0.394944714,0,0.315955767,0.473933654,0.473933654,0.552922594,0.315955767,0.315955767,0.315955767,0.315955767,0.473933654,0.399201598
4%=0.04,0.390117039,0,0.325097534,0.455136543,0.455136543,0.455136543,0.390117039,0.325097534,0.325097534,0.390117039,0.390117039,0.505902198
5%=0.05,0.331491715,0,0.331491715,0.386740333,0.386740333,0.441988951,0.331491715,0.331491715,0.276243097,0.386740333,0.386740333,0.510948908
6%=0.06,0.28818444,0,0.28818444,0.336215179,0.336215179,0.384245918,0.336215179,0.336215179,0.336215179,0.336215179,0.384245918,0.450450453
7%=0.07,0.297366186,0,0.254885303,0.339847069,0.339847069,0.339847069,0.297366186,0.297366186,0.297366186,0.297366186,0.382327952,0.460299195
8%=0.08,0.30464585,0,0.30464585,0.30464585,0.30464585,0.30464585,0.266565119,0.266565119,0.266565119,0.30464585,0.34272658,0.416233091
9%=0.09,0.27605245,0,0.27605245,0.310559006,0.310559006,0.310559006,0.241545894,0.241545894,0.241545894,0.27605245,0.310559006,0.379867047
10%=0.1,0.283911672,0,0.252365931,0.283911672,0.283911672,0.283911672,0.22082019,0.22082019,0.22082019,0.252365931,0.283911672,0.3930131
11%=0.11,0.261475886,0,0.261475886,0.261475886,0.261475886,0.261475886,0.203370134,0.203370134,0.203370134,0.261475886,0.261475886,0.363783347
12%=0.12,0.242326333,0,0.242326333,0.242326333,0.242326333,0.242326333,0.188476037,0.188476037,0.188476037,0.242326333,0.242326333,0.338600451
13%=0.13,0.225790266,0,0.225790266,0.225790266,0.225790266,0.225790266,0.200702459,0.175614652,0.175614652,0.225790266,0.225790266,0.316678395
14%=0.14,0.211366839,0,0.211366839,0.211366839,0.211366839,0.211366839,0.187881635,0.164396431,0.164396431,0.211366839,0.211366839,0.29742234
15%=0.15,0.198675497,0,0.198675497,0.198675497,0.198675497,0.198675497,0.176600442,0.176600442,0.154525387,0.198675497,0.198675497,0.280373832
