jmeter_core(14),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.120481932,0,0,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.120481932,0.121432913
2%=0.02,0.10416667,0,0.10416667,0.10416667,0.10416667,0.10416667,0.10416667,0.20833334,0.20833334,0.10416667,0.10416667,0.105596624
3%=0.03,0.091743122,0,0.183486244,0.183486244,0.183486244,0.27522936,0.183486244,0.27522936,0.27522936,0.27522936,0.183486244,0.093414295
4%=0.04,0.081967215,0,0.16393443,0.16393443,0.16393443,0.245901641,0.16393443,0.245901641,0.245901641,0.245901641,0.245901641,0.251256283
5%=0.05,0.148148152,0,0.148148152,0.148148152,0.148148152,0.222222223,0.148148152,0.222222223,0.222222223,0.222222223,0.222222223,0.227703986
6%=0.06,0.270270276,0,0.202702704,0.135135138,0.135135138,0.270270276,0.135135138,0.202702704,0.202702704,0.202702704,0.337837842,0.346981267
7%=0.07,0.24844721,0,0.310559009,0.124223605,0.124223605,0.372670809,0.186335405,0.186335405,0.186335405,0.24844721,0.310559009,0.319590927
8%=0.08,0.229885062,0,0.344827588,0.229885062,0.229885062,0.344827588,0.287356325,0.229885062,0.172413794,0.287356325,0.402298851,0.296208534
9%=0.09,0.267379682,0,0.320855616,0.267379682,0.267379682,0.320855616,0.267379682,0.267379682,0.160427808,0.267379682,0.374331551,0.276014355
10%=0.1,0.300000001,0,0.300000001,0.250000002,0.250000002,0.300000001,0.250000002,0.250000002,0.150000001,0.250000002,0.400000006,0.258397935
11%=0.11,0.328638498,0.046948357,0.328638498,0.234741786,0.234741786,0.281690142,0.234741786,0.234741786,0.18779343,0.328638498,0.37558686,0.340053437
12%=0.12,0.309734513,0.044247788,0.309734513,0.265486726,0.265486726,0.265486726,0.22123894,0.22123894,0.22123894,0.309734513,0.353982306,0.320806599
13%=0.13,0.334728038,0.041841005,0.292887029,0.292887029,0.292887029,0.251046026,0.209205022,0.209205022,0.209205022,0.292887029,0.334728038,0.303621774
14%=0.14,0.357142856,0.03968254,0.317460321,0.277777778,0.277777778,0.238095239,0.1984127,0.1984127,0.1984127,0.277777778,0.317460321,0.288184438
15%=0.15,0.33962264,0.075471699,0.301886796,0.33962264,0.33962264,0.301886796,0.188679246,0.188679246,0.188679246,0.264150943,0.301886796,0.27424094
