tomcat(28),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,CloAct
1%=0.01,0.296359018,0,0.296359018,0.084674007,0.084674007,0.296359018,0.127011008,0.127011008,0.127011008,0.169348015,0.211685016,0.301659125
2%=0.02,0.300842362,0,0.330926591,0.150421181,0.150421181,0.240673891,0.180505416,0.180505416,0.150421181,0.210589651,0.240673891,0.246837401
3%=0.03,0.279981335,0,0.279981335,0.139990668,0.139990668,0.209986,0.209986,0.186654226,0.11665889,0.186654226,0.233317781,0.288357564
4%=0.04,0.304878052,0,0.323932928,0.133384146,0.133384146,0.228658537,0.190548782,0.171493902,0.133384146,0.209603657,0.209603657,0.295159383
5%=0.05,0.305958129,0,0.305958129,0.128824478,0.128824478,0.225442834,0.225442834,0.177133655,0.128824478,0.209339773,0.257648956,0.283215328
6%=0.06,0.292805354,0,0.278862243,0.139431122,0.139431122,0.264919128,0.20914668,0.167317346,0.125488009,0.223089796,0.223089796,0.260002888
7%=0.07,0.270469633,0,0.258175559,0.135234816,0.135234816,0.245881486,0.19670519,0.17211704,0.122940743,0.19670519,0.208999263,0.242238795
8%=0.08,0.252858401,0,0.230870712,0.131926122,0.131926122,0.241864555,0.186895339,0.164907651,0.120932278,0.197889182,0.208883024,0.216795982
9%=0.09,0.228673694,0,0.218731357,0.119308014,0.119308014,0.228673694,0.188904354,0.159077352,0.119308014,0.188904354,0.208789024,0.216841344
10%=0.1,0.217785844,0,0.199637023,0.117967332,0.117967332,0.226860254,0.172413792,0.154264973,0.117967332,0.172413792,0.208711435,0.216878832
11%=0.11,0.200300451,0.008345852,0.208646303,0.11684193,0.11684193,0.216992154,0.158571189,0.141879486,0.11684193,0.158571189,0.208646303,0.208233916
12%=0.12,0.193139678,0.007725587,0.200865265,0.115883807,0.115883807,0.200865265,0.146786155,0.131334982,0.10815822,0.16223733,0.200865265,0.208902458
13%=0.13,0.179778513,0.014382281,0.186969653,0.107867107,0.107867107,0.186969653,0.136631669,0.129440529,0.107867107,0.158205091,0.186969653,0.194516141
14%=0.14,0.168146354,0.020177563,0.174872208,0.107613667,0.107613667,0.181598063,0.141242938,0.121065375,0.100887812,0.161420501,0.174872208,0.181983621
15%=0.15,0.157927985,0.018951358,0.164245104,0.10739103,0.10739103,0.170562224,0.132659507,0.113708149,0.10739103,0.151610866,0.164245104,0.170968272
