% k, CloAct(W/T/L),W,T,L
CloAct-1(W/T/L): ,80|32|9,80,32,9
CloAct-2(W/T/L): ,78|16|27,78,16,27
CloAct-3(W/T/L): ,87|8|26,87,8,26
CloAct-4(W/T/L): ,97|8|16,97,8,16
CloAct-5(W/T/L): ,103|8|10,103,8,10
CloAct-6(W/T/L): ,97|5|19,97,5,19
CloAct-7(W/T/L): ,101|5|15,101,5,15
CloAct-8(W/T/L): ,96|3|22,96,3,22
CloAct-9(W/T/L): ,92|3|26,92,3,26
CloAct-10(W/T/L): ,98|0|23,98,0,23
CloAct-11(W/T/L): ,104|0|17,104,0,17
CloAct-12(W/T/L): ,109|0|12,109,0,12
CloAct-13(W/T/L): ,103|0|18,103,0,18
CloAct-14(W/T/L): ,100|0|21,100,0,21
CloAct-15(W/T/L): ,101|0|20,101,0,20
,,1446,88,281
,,84.52%,64.19%,
